id,x,y,z,color,cluster,from,seq_cluster_size,from_order,length,plddt
AF-X1NN19-F1-model_v4.domain0.pdb,4787.45654296875,4137.8857421875,1.0,#9e0142,cluster_0,AFDB,1,1,89.0,84.89640449438203
AF-X1PAL2-F1-model_v4.domain1.pdb,3466.10546875,3598.791259765625,1.0,#cb334c,cluster_4,AFDB,1,1,105.0,92.51685714285716
AF-X1PCY6-F1-model_v4.domain0.pdb,3545.334716796875,3744.086669921875,1.0,#cb334c,cluster_4,AFDB,1,1,144.0,94.05687499999999
AF-X1Q8X4-F1-model_v4.domain0.pdb,4531.849609375,4100.26416015625,1.0,#9e0142,cluster_0,AFDB,1,1,103.0,90.90582524271844
AF-A0A5C0E1G5-F1-model_v4.domain0.pdb,4573.5673828125,3752.864501953125,1.0,#9e0142,cluster_0,AFDB,3,1,136.0,93.73617647058825
AF-A0A5C0SCK4-F1-model_v4.domain0.pdb,4039.459716796875,3403.302001953125,1.0,#a80c44,cluster_1,AFDB,4,1,92.0,95.62641304347824
AF-A0A5C0UHF8-F1-model_v4.domain0.pdb,4200.20751953125,3567.468505859375,1.0,#a80c44,cluster_1,AFDB,1,1,103.0,95.0745631067961
AF-A0A5C0UIQ6-F1-model_v4.domain5.pdb,3674.817138671875,3876.826171875,1.0,#cb334c,cluster_4,AFDB,1,1,111.0,83.31396396396396
AF-A0A5C1A9T3-F1-model_v4.domain0.pdb,3920.0205078125,3028.720703125,1.0,#fefebe,cluster_24,AFDB,1,1,159.0,87.11490566037737
AF-A0A5C1QD01-F1-model_v4.domain0.pdb,4121.66650390625,3421.528076171875,1.0,#a80c44,cluster_1,AFDB,1,1,120.0,90.85483333333333
AF-A0A5C2H7W3-F1-model_v4.domain0.pdb,4758.8408203125,4994.0419921875,1.0,#808080,Unclustered,AFDB,1,1,102.0,87.86147058823528
AF-A0A5C2HCE0-F1-model_v4.domain0.pdb,4026.256591796875,3839.42236328125,1.0,#808080,Unclustered,AFDB,1,1,93.0,92.23333333333332
AF-A0A5C3EVJ1-F1-model_v4.domain0.pdb,3362.16650390625,4145.0146484375,1.0,#808080,Unclustered,AFDB,1,1,192.0,69.78750000000001
AF-A0A5C3EVQ1-F1-model_v4.domain0.pdb,3437.3193359375,3881.2412109375,1.0,#808080,Unclustered,AFDB,1,1,166.0,67.20807228915663
AF-A0A5C4N987-F1-model_v4.domain0.pdb,4207.02587890625,3625.404296875,1.0,#a80c44,cluster_1,AFDB,1,1,97.0,96.72731958762888
AF-A0A5C4NBN5-F1-model_v4.domain0.pdb,3374.06201171875,3788.7646484375,1.0,#cb334c,cluster_4,AFDB,3,1,131.0,89.77534351145037
AF-A0A5C4R3X0-F1-model_v4.domain0.pdb,2958.254150390625,3886.56884765625,1.0,#397db8,cluster_44,AFDB,3,1,160.0,86.350875
AF-A0A5C4U186-F1-model_v4.domain0.pdb,4083.3349609375,3563.64599609375,1.0,#a80c44,cluster_1,AFDB,2,1,108.0,89.04999999999998
AF-A0A5C4XY12-F1-model_v4.domain0.pdb,3007.349609375,4013.90771484375,1.0,#cb334c,cluster_4,AFDB,1,1,230.0,80.80795652173914
AF-A0A5C5BE21-F1-model_v4.domain1.pdb,4127.83544921875,3153.064208984375,1.0,#f06744,cluster_9,AFDB,1,1,113.0,86.9683185840708
AF-A0A5C5RD04-F1-model_v4.domain0.pdb,4738.54541015625,4496.4697265625,1.0,#9e0142,cluster_0,AFDB,1,1,135.0,79.08762962962962
AF-A0A5C5UU51-F1-model_v4.domain3.pdb,3339.321533203125,4539.2353515625,1.0,#fdd481,cluster_18,AFDB,1,1,92.0,86.2670652173913
AF-A0A5C5WCJ6-F1-model_v4.domain0.pdb,3412.92919921875,4254.66259765625,1.0,#808080,Unclustered,AFDB,1,1,136.0,89.9158088235294
AF-A0A5C5X3R3-F1-model_v4.domain0.pdb,4339.4677734375,4898.501953125,1.0,#fca75e,cluster_14,AFDB,2,1,101.0,92.69297029702969
AF-A0A5C5ZIZ6-F1-model_v4.domain0.pdb,4383.87744140625,5150.33984375,1.0,#808080,Unclustered,AFDB,1,1,78.0,72.82294871794872
AF-A0A5C5ZTJ8-F1-model_v4.domain1.pdb,3169.958251953125,4148.5908203125,1.0,#cb334c,cluster_4,AFDB,1,1,107.0,82.9628971962617
AF-A0A5C6A2G0-F1-model_v4.domain3.pdb,3336.699951171875,4529.6669921875,1.0,#fdd481,cluster_18,AFDB,1,1,82.0,89.82292682926828
AF-A0A5C6B8M6-F1-model_v4.domain2.pdb,4106.919921875,5145.40283203125,1.0,#b0dfa2,cluster_33,AFDB,1,1,111.0,91.61468468468466
AF-A0A5C6BLI5-F1-model_v4.domain0.pdb,4209.900390625,4790.62744140625,1.0,#fca75e,cluster_14,AFDB,1,1,97.0,69.7718556701031
AF-A0A5C6BQZ4-F1-model_v4.domain2.pdb,3680.04052734375,4300.27734375,1.0,#f47245,cluster_10,AFDB,1,1,101.0,91.17148514851485
AF-A0A5C6UX80-F1-model_v4.domain1.pdb,3488.28125,3613.8388671875,1.0,#808080,Unclustered,AFDB,1,1,112.0,84.69446428571429
